,Forecast,Lower_ci,Upper_ci
2026-05-01,7210794.629795616,6503567.520422142,7918021.739169089
2026-06-01,7539893.378293952,6372021.358331963,8707765.39825594
2026-07-01,8320949.698670949,6866360.321429748,9775539.07591215
2026-08-01,8289776.479455005,6625333.789646901,9954219.16926311
2026-09-01,7147230.15303552,5319622.196688068,8974838.109382972
2026-10-01,7093243.65661131,5134634.4885287285,9051852.824693892
2026-11-01,6479161.553284515,4413266.8773450125,8545056.229224017
2026-12-01,7309463.643825485,5154520.325162558,9464406.962488413
2027-01-01,6940450.236130083,4710883.100807788,9170017.371452378
2027-02-01,6560505.098629512,4267954.107491126,8853056.089767898
2027-03-01,7531963.114189312,5185960.469606005,9877965.758772619
2027-04-01,7031432.244101588,4639871.949522739,9422992.538680436
2027-05-01,7187257.448401625,4653539.961186837,9720974.935616413
2027-06-01,7550145.39413479,4849619.168525118,10250671.619744461
2027-07-01,8317344.547611618,5479581.799385767,11155107.29583747
2027-08-01,8230762.127511332,5278723.587618029,11182800.667404635
2027-09-01,7170945.838999428,4122915.476181774,10218976.201817082
2027-10-01,7122125.160148267,3992929.651204572,10251320.669091962
2027-11-01,6470733.372573222,3272559.569087775,9668907.176058669
2027-12-01,7302693.073905756,4045662.259451859,10559723.888359653
2028-01-01,6948819.042159109,3641405.367842491,10256232.716475729
2028-02-01,6581428.074742283,3230772.470801095,9932083.678683471
2028-03-01,7554544.543894901,4166695.8342515863,10942393.253538216
2028-04-01,7038497.355101852,3618601.0643841084,10458393.645819595
